dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - LLM-direct title,R5_TITLE,0.8774131274131274,0.6862934362934363,0.19111969111969113,0.16312741312741313,0.21911196911196912,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - LLM-direct snippet128,EM,0.44015444015444016,0.3783783783783784,0.06177606177606178,0.023166023166023165,0.10038610038610038,0.9987,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - LLM-direct snippet128,F1,0.5524675675675675,0.46183076960387887,0.09063679796368872,0.05238300880384914,0.1288730745869191,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.8774131274131274,0.721042471042471,0.15637065637065636,0.1274131274131274,0.18725868725868725,1.0,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - SetR-style k20,EM,0.25933609958506226,0.2697095435684647,-0.01037344398340249,-0.043568464730290454,0.022821576763485476,0.2569,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - SetR-style k20,F1,0.3498545643153527,0.3581525472658908,-0.008297982950538095,-0.04308689296059792,0.02595351303451951,0.3144,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - SetR-style k20,R5_TITLE,0.6639004149377593,0.6642461964038728,-0.0003457814661134158,-0.020055325034578148,0.01970954356846473,0.4831,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - Top5,EM,0.25933609958506226,0.23443983402489627,0.024896265560165973,-0.006224066390041493,0.056016597510373446,0.9386,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - Top5,F1,0.3498545643153527,0.3132684647302904,0.036586099585062246,0.006459424273858922,0.0670691182572614,0.9915,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - Top5,R5_TITLE,0.6639004149377593,0.6063278008298755,0.057572614107883814,0.03941908713692946,0.07538035961272477,1.0,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - IRCoT-style local,EM,0.25933609958506226,0.24273858921161826,0.016597510373443983,-0.02074688796680498,0.05394190871369295,0.8033,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - IRCoT-style local,F1,0.3498545643153527,0.3407238062948917,0.009130758020461016,-0.027714670018202173,0.045073101814166995,0.6805,False
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - IRCoT-style local,R5_TITLE,0.6639004149377593,0.5672544951590593,0.09664591977869985,0.07399723374827111,0.11929460580912864,1.0,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - LLM-direct title,EM,0.25933609958506226,0.2053941908713693,0.05394190871369295,0.016597510373443983,0.09336099585062241,0.9968,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - LLM-direct title,F1,0.3498545643153527,0.2944843497565001,0.05537021455885259,0.01661245811351071,0.09496657209230978,0.9977,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - LLM-direct title,R5_TITLE,0.6639004149377593,0.531984785615491,0.13191562932226836,0.10753803596127248,0.1571619986168741,1.0,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - LLM-direct snippet128,EM,0.25933609958506226,0.2033195020746888,0.056016597510373446,0.016597510373443983,0.0975103734439834,0.9977,True
MuSiQue,gold_doc_count>=3,482,3,4,3.3443983402489628,DAEC-selective - LLM-direct snippet128,F1,0.3498545643153527,0.30242310696638636,0.04743145734896632,0.007266130225532212,0.08721382756162878,0.9888,True
