split,score_name,threshold,dataset,n,em,f1,title_recall,null_rate,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,macro_f1,macro_delta_f1_vs_daec
all,bind_conf_composite_primary,0.46,HotpotQA,1000,0.622,0.748733,0.9635,0.362,0.001428600000000002,0.0020000000000000018,0.0010000000000000009,0.009995399999999988,0.6351487666666666,0.003473700000000024
all,bind_conf_composite_primary,0.46,MuSiQue,1000,0.345,0.4453023,0.7624166666666666,0.472,0.009409200000000006,0.007999999999999952,0.0012499999999999734,-0.0005111999999999894,0.6351487666666666,0.003473700000000024
all,bind_conf_composite_primary,0.47,2Wiki,1000,0.642,0.711411,0.94,0.306,-0.00041669999999993657,0.0,-0.0010000000000000009,0.09942070000000003,0.6357598666666666,0.004084800000000037
all,bind_conf_composite_primary,0.47,HotpotQA,1000,0.621,0.747733,0.963,0.368,0.0004286000000000012,0.0010000000000000009,0.0004999999999999449,0.008995399999999987,0.6357598666666666,0.004084800000000037
all,bind_conf_composite_primary,0.47,MuSiQue,1000,0.348,0.4481356,0.764,0.482,0.012242500000000045,0.010999999999999954,0.0028333333333333544,0.002322100000000049,0.6357598666666666,0.004084800000000037
all,bind_conf_composite_primary,0.48,2Wiki,1000,0.642,0.7113634,0.9405,0.309,-0.00046429999999997307,0.0,-0.0004999999999999449,0.09937309999999999,0.6358106666666666,0.004135600000000017
all,bind_conf_composite_primary,0.48,HotpotQA,1000,0.621,0.747733,0.9635,0.374,0.0004286000000000012,0.0010000000000000009,0.0010000000000000009,0.008995399999999987,0.6358106666666666,0.004135600000000017
all,bind_conf_composite_primary,0.48,MuSiQue,1000,0.349,0.4483356,0.766,0.495,0.012442500000000023,0.011999999999999955,0.004833333333333356,0.002522100000000027,0.6358106666666666,0.004135600000000017
all,bind_conf_composite_primary,0.49,2Wiki,1000,0.641,0.7108634,0.9405,0.31,-0.000964299999999918,-0.0010000000000000009,-0.0004999999999999449,0.09887310000000005,0.6356995666666667,0.004024500000000024
all,bind_conf_composite_primary,0.49,HotpotQA,1000,0.621,0.7478997,0.9635,0.379,0.0005952999999999653,0.0010000000000000009,0.0010000000000000009,0.00916209999999995,0.6356995666666667,0.004024500000000024
